company_id,speciality
2017,Semiconductors
2017,Wireless
2017,Mobile
2017,Networking
2017,Wi-Fi
2017,Small Cells
2017,Wireless Power
2017,Augmented Reality
2017,Location Services
2017,Internet of Things
2017,Automotive
2017,5G
2017,PC computing
2017,Bluetooth
2457,EDA
2457,Computer Software
2457,Semiconductor IP
2457,Software Quality
2457,Software Security
100237534,website development
100237534,performance marketing
100237534,virtual events
100237534,content production
74708,Lasers
74708,Semiconductors
74708,Laser Systems
74708,Laser Applications
74708,Communication Components
74708,Optoelectronic Devices
74708,Optical Transceivers
74708,Optical Instrumentation
74708,Laser Machines & Systems
74708,Laser Components & Accessories
74708,Laser Measurement Instruments
74708,Engineered Materials
74708,SiC Power Devices & Modules
74708,SiC Substrates & Epitaxy
74708,Ion Implantation
74708,Lithium-Ion Battery Recycling
74708,Ceramics Capabilities
12504,Bioanalytical services
12504,Food & Feed testing
12504,Environment testing
12504,Pharma Services
12504,Pharma Early Development
12504,Pharma Central Laboratory
12504,BioPharma Product Testing & QC
12504,Agrosciences
12504,Product Testing
12504,Genomic Services
12504,Forensics & Applied Genetics
12504,REACH Services
96167369,VLSI Design
96167369,RTL to GDSII
96167369,Chiplets & Interconnects
96167369,Pre & Post Silicon Validation
96167369,Board Design
96167369,Firmware Dev & Validation
96167369,Board Bring up
96167369,Linux & Android
96167369,Connectivity
96167369,Multimedia
96167369,Flash Storage
96167369,Application Software
96167369,Cloud Computing & Cybersecurity
96167369,Agentic AI
96167369,GenAI
96167369,Digital Engineering
16198010,Consulting
16198010,Data & AI Impact
16198010,Design & Engineering
16198010,Custom Applications
16198010,Enterprise Applications
16198010,Insurance Software and BPS
16198010,Banking BPS
16198010,Finance & Accounting
16198010,Cyber Security
16198010,Modern Workplace
16198010,Cloud & Infrastructure 
95035475,Cold Email Marketing
95035475,B2B Lead Generation
95035475,Email Marketing
95035475,Lead Generation
95035475,Email Deliverability
95035475,"Lemlist, Instantly"
5651,Investment management solutions and services for the global investment industry
5034,Digital Transformation
5034,Digital Business Strategy 
5034,CX Innovation & Optimization (SFDC)
5034,Digital Product Engineering (ISV)
5034,Data-Driven Business & Intelligence
5034,Core IT Modernization 
5034,"Identity, Access and Privacy Management"
5034,Consulting
108290159,Virtual Internships
108290159,Career Mentorship
56915,IT Services
56915,Staff Augmentation
56915,Managed Services
56915,Professional Services
97157,Banking Transformation
97157,Retail Banking
97157,Aurionpro Customer Experience
97157,Queue Management System
97157,Self Service Kiosk
97157,Customer Feedback System
97157,Digital Signage Solution
97157,Wholesale Banking
97157, Transaction Banking Solution
97157,Corporate Internet Banking
97157,Payments
97157,Collections
97157, Receivables Management
97157,Liquidity Management
97157, Financial Supply Chain Management
97157,Trade Portal
97157,Credit Risk Management
97157,SmartLender Financial Analysis
97157,Origination & Approval
97157,Collateral & Limit Management
97157,Post-Approval
97157,Smart Lender Cloud 
97157,Treasury and Capital Markets
97157,FX Connect
97157,Smart City and Smart Mobility
97157,Digital Twin City Platform
97157,Centralized Project Management System Platform
97157, OTT Platform Solutions
97157,Smart Mobility
97157,Automatic Fare Collection
97157,ITMS
97157,Hardware Components AFC
97157,Transit Payment Solution
97157, Professional Services
97157,G2G Support Services
97157,Consulting Services
97157,Managed  IT Services for Software
97157,Data Center Services
97157,Hybrid Cloud Services 
97157,Specialized Services
97157,Payment Services
97157,Artificial Intelligence
97157,Transaction Banking
2378,Diversified group
2378,Retail
2378,Integrated Energy
2378,Refining & Marketing
2378,Petrochemicals
2378,Telecom : Broadband
2378,Exploration and Production
2378,Telecom
15143454,Home improvement
15143454,Retail
15143454,E-commerce
15143454,Omni-channel
7306008,Cummins Engine Business
7306008,Cummins Power Generation
7306008,Cummins Distribution Business
7306008,Cummins Turbo Technologies
7306008,Cummins Emission Solutions
7306008,Cummins Fuel Systems
7306008,Cummins Filtration
7306008,Cummins Electrified Power
14492968,UX Design
14492968,Re-design Experts
14492968,Digital Advertising Strategies
14492968,Front-end UI
14492968,Digital Product Design Strategy
14492968,Digital Product Branding Strategy
14492968,Digital Product Marketing Designs & Strategy
14492968,UI Design
14492968,Usability Evalutation
14492968,B2B UX
14492968,B2B2C UX
14492968,AI
14492968,Vision AI
14492968,Digital Twin
14492968,AI Pipeline
14492968,Model Training
14492968,AI Transformation
14492968,Digital Transofrmation Strategy
14492968,Vision AI Solutions
14492968,Predictive UX Intelligence
14492968,Product Strategy & Architecture
14492968,Zero-to-One Product Development
14492968,MVP Development
14492968,SaaS Product Engineering
14492968,Full-stack Development
14492968,Cloud-Native Architecture
14492968,Design Systems & UX Governance
14492968,Headless CMS Development
14492968,Flutter App Development
14492968,Produc-Market Fit Consulting
14492968,Scalable System Architecture
14492968,AI Platform Development
14492968,Enterprise AI Implementation
14492968,UX AI Analytics
222111,Embedded Systems & Electronics
222111,Engineering Software
222111,Mechanical Systems & Structures
222111,Product Lifecycle Solutions
222111,Engineering Services
222111,Engineering Consulting
222111,Softwareengineering 
222111,Automotiveengineering 
222111,Aerospace&Defense 
222111,Rail
222111,Energy 
222111,AI
222111,hi tech
222111,Warehouseautomation 
222111,Sustenenceengineering 
222111,Software product engineering 
222111,Embedded product engineering 
222111,digital technology 
222111,supply chain 
222111,testing and automation 
222111,Commucation technology 
222111,MedTech 
222111,Healthcare 
222111,Semiconductors
222111,Silicon
222111,Cloud
222111,Oil&Gas
222111,Mining 
222111,digital hub
222111,Rail engineering
222111,Medical Engineering 
14766,Lean Business
14766,Talent Development
14766,Strategy Management
14766,Engineering 
5470,Banking
5470,Capital Markets
5470,Wealth & Investment Management
5470,Finance
5470,Risk & Compliance and Technology
5470,Insurance
5470,Financial Technology
5470,Management Consulting
5470,Consulting
5470,Business Transformation
5470,Digital
5470,Energy
108993491,Recruitment Services 
108993491,Remote Work
108993491,Human Resources
108993491,Pre-Vetted Talent Pool
108993491,Taxation and Compliance 
2001226,Technical Writing and Documentation Services
2001226,"Digital, Social and Creative Marketing Services"
2001226,Contract and Permanent Staffing Services
2001226,Managed Services
2001226,Machine Learning
2001226,Salesforce
2001226,Artificial Intelligence
2001226,IT Staffing
2001226,Software Engineering
2001226,Video Production
2001226,Program Management
2001226,Multimedia Services
2001226,QA & Testing
2001226,Data & Business Analysis
2001226,Product Management
2001226,Healthcare IT
2001226,Pharmaceutical
2001226,Life Sciences
2001226,Cloud Technolgies
2001226,UI/UX
2001226,Operations
2001226,Prompt Engineering
77903730,Web Development
77903730,Application Development
77903730,SEO
77903730,DIgital Marketing
77903730,Website Design
77903730,E-commerce Website
70971420,Real Estate Asset Management
70971420,Investment Management and Advisory
70971420,Real Estate Platforms
70971420,Diversified Financial Services
70971420,Real Estate Financing
70971420,Alternative Investment Funds
70971420,Realty
70971420,Impact Investing
164361,Engineering Services
164361,Design Led Manufacturing
164361,Networks and Operations
164361,Geospatial
164361,Semiconductor
164361,Technology Solutions
164361,Digital Transformation
164361,Industry 4.0
110269034,Fintech
3776,Marketing data
3776,Marketing technology
3776,Insight & strategy
3776,Creative services
3776,Loyalty marketing
3776,Email & digital messaging
3776,Customer acquisition & retention
3776,Digital
3776,Relationship marketing
3776,Omnichannel & cross-channel marketing
3776,Offline & experiential marketing
104418155,Global Talent
104418155,Recruiting
104418155,Hiring
104418155,Talent Acquisition
104418155,AI Native Talent
104418155,Global Hiring
104418155,AI-Powered Recruiting
104418155,Expert Recruiters
104418155,Startup Hiring
104418155,Technical Recruiting
104418155,Executive Search
104418155,Cross-Border Hiring
104418155,GCC Hiring
104418155,Outcome-Based Recruiting
104418155,AI Recruiting
104418155,Full-Stack Recruiting
104418155,Human-in-the-Loop AI
104418155,Agentic Hiring
346779,PEO
346779,ASO
346779,Payroll
346779,HRO
346779,Benefits Administration
346779,Employee Onboarding
346779,Benefits Enrollment
346779,Account Management
346779,Employee Self-Service
346779,Document Imaging
346779,SaaS solutions
346779,Cloud Computing
346779,Manager Self-Service
346779,small businesses
346779,small and medium sized businesses
346779,HCM
346779,HR tech
3469,Refrigerators
3469,Cookers
3469,Ovens
3469,Hobs
3469,Hoods
3469,Washing machines
3469,Dryers
3469,Freezers
3469,Small appliances
3469,Vacuum cleaners
7952659,Robotics
7952659,Autonomy
7952659,Defense
7952659,Perception
7952659,Artificial Intelligence
7952659,AI
7952659,Technology
7952659,Engineering
7952659,Hardware
7952659,Software
7952659,Drones
7952659,UAV
7952659,UAS
7952659,Machine Learning
7952659,National Security
103373501,architecture
103373501,interior
103373501,turnkeyconstruction
103373501,interior design
9707,Digital Strategy
